Kategorie,Titel,Frage,Datum,NameAntwortgeber,Antwort,
SHSG Arbeit,Deregistration,When is the last day that i can deregister for an exam free of charge?,09.04.2025,Michèle - Representation of Interests and Studies,Hello and thank you for question! For central exams the deadline is May 5th. Please check your compass calendar for further information!,
SHSG Arbeit,academic calendar,What day in september 2025 does university start again for bachelor’s students?,09.04.2025,Michèle - Representation of Interests and Studies,Hello and thank you for your question! The Autumn Semester will start on the 15th of September for Bachelor students. And Startweek will take place from the 8-12th of September.,
SHSG Arbeit,Master thesis registration deadline,When is the deadline to register the master thesis topic in order to graduate by February 2026?,31.03.2025,Michèle - Representation of Interests and Studies,"Hello and thank you for your question! There is no longer a set registration deadline for your Thesis, it should be discussed with your supervisor accordingly. There is just a completion deadline of 12 months from registration, and a submission deadline. If you wish to graduate in Feb 2026, the deadline for your Thesis is either August or November of this year.",
SHSG Arbeit,Programmvertretung,Wo finde ich den Kontakt zu meinem Programmvertreter?,02.04.2025,Michèle - Representation of Interests and Studies,"Hallo und danke für deine Frage! Du kannst unter https://www.unisg.ch/en/studying/programmes und dann entweder /bachelor order /master und dein Programm finden, und es sollte am Ende der Webpage unter Kontakt stehen.
Falls du den Kontakt zu der studentischen Vertretung suchst, kannst du diese auf unserer Website finden: https://shsg.ch/de/student-union/parliament",
SHSG Arbeit,Micro exam review,When do we have the micro exam review for the assessment,03.03.2025,Michèle - Representation of Interests and Studies,Hello and thank you for your question! Please contact your respective Professor or TA to set up a schedule to review or any further questions related to exam reviews. Hope this helps your further!,
SHSG Arbeit,Deregistration,When is the last day that i can deregister for an exam free of charge?,09.04.2025,Michèle - Representation of Interests and Studies,Hello and thank you for question! For central exams the deadline is May 5th. Please check your compass calendar for further information!,
SHSG Arbeit,academic calendar,What day in september 2025 does university start again for bachelor’s students?,09.04.2025,Michèle - Representation of Interests and Studies,Hello and thank you for your question! The Autumn Semester will start on the 15th of September for Bachelor students. And Startweek will take place from the 8-12th of September.,
SHSG Arbeit,Master thesis registration deadline,When is the deadline to register the master thesis topic in order to graduate by February 2026?,31.03.2025,Michèle - Representation of Interests and Studies,"Hello and thank you for your question! There is no longer a set registration deadline for your Thesis, it should be discussed with your supervisor accordingly. There is just a completion deadline of 12 months from registration, and a submission deadline. If you wish to graduate in Feb 2026, the deadline for your Thesis is either August or November of this year.",
SHSG Arbeit,Programmvertretung,Wo finde ich den Kontakt zu meinem Programmvertreter?,02.04.2025,Michèle - Representation of Interests and Studies,"Hallo und danke für deine Frage! Du kannst unter https://www.unisg.ch/en/studying/programmes und dann entweder /bachelor order /master und dein Programm finden, und es sollte am Ende der Webpage unter Kontakt stehen.
Falls du den Kontakt zu der studentischen Vertretung suchst, kannst du diese auf unserer Website finden: https://shsg.ch/de/student-union/parliament",
SHSG Arbeit,Micro exam review,When do we have the micro exam review for the assessment,03.03.2025,Michèle - Representation of Interests and Studies,Hello and thank you for your question! Please contact your respective Professor or TA to set up a schedule to review or any further questions related to exam reviews. Hope this helps your further!,
